idUsuarioEquipoDetalle,idUsuario,codigoPatrimonial,serie,idDependencia,fechaInicio,fechaFin,estado
1,U9999,543513,MXJ61408CV,D0011,2014-01-09,,1
2,U9999,543522,MXJ61407SR,D0019,2014-01-09,,1
3,U9999,543537,MXJ614083V,D0018,2014-01-09,,1
4,U9999,543561,MXJ614078L,D0029,2014-01-09,,1
5,U9999,543585,MXJ6140851,D0002,2014-01-09,,1
6,U9999,543603,MXJ61408BY,D0011,2014-01-09,,1
7,U9999,543615,MXJ61407CZ,D0005,2014-01-09,,1
8,U9999,543621,MXJ614085F,D0026,2014-01-09,,1
9,U9999,543636,MXJ61408DK,D0017,2014-01-09,,1
10,U9999,543639,MXJ614079P,D0016,2014-01-09,,1
11,U9999,543711,MXJ614079R,D0009,2014-01-09,,1
12,U9999,543717,MXJ614076D,D0007,2014-01-09,,1
13,U9999,546573,FXCRTF1,D0026,2014-01-09,,1
14,U9999,546813,2CHQTF1,D0018,2014-01-09,,1
15,U9999,546816,5JHQTF1,D0026,2014-01-09,,1
16,U9999,547233,D2GDTF1,D0028,2014-01-09,,1
17,U9999,547287,137dtf1,D0006,2014-01-09,,1
18,U9999,547452,dccyoptiplex,D0006,2014-01-09,,1
19,U9999,761113,MXJ0080B0H  ,D0022,2014-01-09,,1
20,U9999,761122,MXJ00808Z0    ,D0021,2014-01-09,,1
21,U9999,761132,MXJ00801JM     ,D0023,2014-01-09,,1
22,U9999,761587,MXJ0080B09,D0025,2014-01-09,,1
23,U9999,761745,MXJ008082S,D0024,2014-01-09,,1
24,U9999,832355,MXJ00108L2,D0015,2014-01-09,,1
25,U9999,832371,MXJ00108L4,D0003,2014-01-09,,1
26,U9999,832395,MXJ00108KT,D0014,2014-01-09,,1
27,U9999,832399,MXJ00108KC,D0027,2014-01-09,,1
28,U9999,832479,MXJ00108K4,D0019,2014-01-09,,1
29,U9999,832483,MXJ0010869,D0018,2014-01-09,,1
30,U9999,832485,MXJ001086K,D0026,2014-01-09,,1
31,U9999,832493,MXJ001096C,D0010,2014-01-09,,1
32,U9999,832581,MXJ00104BP,D0020,2014-01-09,,1
33,U9999,832743,MXJ00108IM,D0008,2014-01-09,,1
34,U9999,832773,MXJ001085Q,D0006,2014-01-09,,1
35,U9999,832835,MXJ001048P,D0013,2014-01-09,,1
36,U9999,832949,,D0004,2014-01-09,,1
37,U9999,832949,CNC95284WR,D0004,2014-01-09,,1
38,U9999,832949,MXJ00104B1,D0004,2014-01-09,,1
39,U9999,832965,MXJ00104B9,D0013,2014-01-09,,1
40,U9999,832991,MX100104CN,D0001,2014-01-09,,1
